No.,domain,name
75,dlu.edu.cn,Dalian University
76,dlufl.edu.cn,Dalian University of Foreign Language
77,dlut.edu.cn,Dalian University of Technology
78,dufe.edu.cn,Dongbei University of Finance And Economics
79,ecjtu.jx.cn,East China Jiao Tong University
80,ecnu.edu.cn,East China Normal University
81,ecust.edu.cn,East China University of Science and Technology
82,emsfj.com,Emeishan Buddhist College
83,fimmu.edu.cn,Southern Medial University
84,fjau.edu.cn,Fujian Agricultural University
85,fjmu.edu.cn,Fujian Medical University
86,fjnu.edu.cn,Fujian Normal University
87,fjtcm.edu.cn,Fujian University of Traditional Chinese Medicine
88,fmmu.edu.cn,4th Military Medical University
89,fosu.edu.cn,Foshan University
90,fspu.edu.cn,Fushun Petroleum University
91,fudan.edu.cn,Fudan University
92,fzu.edu.cn,Fuzhou University
93,gdin.edu.cn,Guangdong Polytechnic Normal University
94,gdrtvu.edu.cn,Guangdong Radio & TV University
95,gdufs.edu.cn,Guangdong University of Foreign Studies
96,gdut.edu.cn,Guangdong University of Technology
97,gsau.edu.cn,Gansu Agricultural University
98,gsut.edu.cn,Gansu University of Technology
99,guangztc.edu.cn,Guangzhou Normal University
100,gxmu.edu.cn,Guangxi Medical University
101,gxnu.edu.cn,Guangxi Normal University
102,gxtcmu.edu.cn,Guangxi Traditional Chinese Medical University
103,gxu.edu.cn,Guangxi University
104,gxun.edu.cn,Guangxi University for Nationalities
105,gzarts.edu.cn,Guangzhou Academy of Fine Art
106,gzhtcm.edu.cn,Guangzhou University of Traditional Chinese Medicine
107,gzhu.edu.cn,Guangzhou University
108,gznu.edu.cn,Guizhou Normal University
109,gzsums.edu.cn,Sun Yat-Sen University of Medical Sciences
110,gzu.edu.cn,Guizhou University
111,hainnu.edu.cn,Hainan Normal University
112,hainu.edu.cn,Hainan University
113,hbafa.com,Hebei Academy of Fine Art
114,hbu.edu.cn,Hebei University
115,hdpu.edu.cn,University of Petroleum (East China)
116,hebau.edu.cn,Hebei Agricultural University
117,hebeiuniteduniversity.com,Hebei United University
118,hebmu.edu.cn,Hebei Medical University
119,hebnu.edu.cn,Hebei Normal University
120,hebust.edu.cn,Hebei University of Science and Technology
121,hebut.edu.cn,Hebei University of Technology
122,henannu.edu.cn,Henan Normal University
123,henau.edu.cn,Henan Agriculture University
124,henu.edu.cn,Henan Univeristy
125,heuet.edu.cn,Hebei University of Economics and Trade
126,hfut.edu.cn,Hefei University of Technology
127,hhit.edu.cn,Huaihai Institute of Technology
128,hhrtu.com,Huaihua Radio and Television University
129,hhstu.edu.cn,Huanghe Science & Technology University
130,hhuc.edu.cn,Hohai University Changzhou
131,hhu.edu.cn,Hehai University
132,hhu.edu.cn,Huaihua University
133,hit.edu.cn,Harbin Institute of Technology
134,hlaflru.edu.cn,Heilongjiang August 1st Reclamation University
