Rank,University
259,Shandong University of Finance and Economics
260,Shanxi Normal University
261,Zhejiang University of Science and Technology
262,Xinjiang University
263,North China University of Technology
264,Dongbei University of Finance and Economics
265,Shanghai University of Electric Power
266,Nanchang HangKong University
267,Henan University of Science and Technology
268,Southwest Petroleum University
269,Heilongjiang University
270,Shaanxi University of Science and Technology
271,Chengdu University of Traditional Chinese Medicine
272,Chengdu University
273,Jimei University
274,China Central Academy of Fine Arts
275,Changzhou University
276,Jiangsu University of Science and Technology
277,Shanghai University of International Business and Economics
278,Wuhan Institute of Technology
279,Hebei Medical University
280,Jishou University
281,China Foreign Affairs University
282,Minzu University of China
283,Liaoning Normal University
284,Harbin University of Science and Technology
285,Hebei University of Science and Technology
286,Xuchang University
287,Lanzhou Jiaotong University
288,"Wuyi University, Guangdong"
289,Peking Union Medical College
290,Qinghai Normal University
291,Shaoyang University
292,Xi'an International Studies University
293,Lanzhou University of Finance and Economics
294,Huaiyin Institute of Technology
295,Liaoning Technical University
296,Fujian University of Technology
297,Wannan Medical College
298,Nanjing University of the Arts
299,Tianjin University of Commerce
300,Guangdong Technion Israel Institute of Technology
301,Chongqing Jiaotong University
302,Bohai University
303,Qinghai University
304,Nanjing Institute of Technology
305,Shanghai University of Political Science and Law
306,Jiangxi Agricultural University
307,Duke Kunshan University
308,Shenyang Aerospace University
309,Guangxi Medical University
310,Changsha Medical University
311,Yuncheng University
312,People's Public Security University of China
313,Guangzhou Academy of Fine Arts
314,Beijing City University
315,Shanghai University of Sport
316,Hangzhou Normal University
317,Zhengzhou University of Light Industry
318,North University of Nationalities
319,Shenyang Pharmaceutical University
320,Inner Mongolia University of Technology
321,Xihua University
322,Xi'an University of Technology
323,Tianjin University of Technology and Education
324,Hunan University of Technology
325,Xuzhou Institute of Technology
326,Southwest University of Science and Technology
327,Anhui University of Chinese Medicine
328,Hebei University of Economics and Business
329,Central South University of Forestry and Technology
330,Shanxi Medical University
331,Zhongkai University of Agriculture and Engineering
332,Wenzhou Medical University
333,Hubei University of Medicine
334,Beijing Film Academy
335,Jilin Agricultural University
336,Shanghai Second Polytechnic University
337,Lingnan Normal University
338,Xi'an University of Science and Technology
339,Qingdao Agricultural University
340,Tianjin Academy of Fine Arts
341,Shenyang Agricultural University
342,Inner Mongolia Normal University
343,Linyi University
344,Minjiang University
345,Hubei Normal University
346,Beijing Institute of Graphic Communication
347,Anhui Xinhua University
348,North University of China
349,Northeast Electric Power University
350,Hubei University of Economics
351,Wuhan Polytechnic University
352,Henan University of Urban Construction
353,United International College
354,Jingdezhen Ceramic Institute
355,Shanxi Agricultural University
356,Luoyang Institute of Science and Technology
357,Xinjiang Normal University
358,Shandong Jianzhu University
359,Shenyang Normal University
360,Guangzhou University of Chinese Medicine
361,Weifang University
362,Chongqing Technology and Business University
363,Ningbo University of Technology
364,Henan Agricultural University
365,Nanjing Xiaozhuang University
366,Hubei University of Education
367,Hebei University of Engineering
368,Beijing Institute of Petrochemical Technology
369,Changchun University of Technology
370,Jianghan University
371,Jinling Institute of Technology
372,Anhui Polytechnic University
373,Nanjing University of Finance and Economics
374,Chongqing University of Technology
375,Jiangxi University of Science and Technology
376,Shanghai Theatre Academy
377,Shanghai Dianji University
378,Shanghai University of Traditional Chinese Medicine
379,Nanyang Institute of Technology
380,Guangxi University for Nationalities
381,Huaiyin Normal University
382,Shandong Jiaotong University
383,Nanjing University of Chinese Medicine
384,Jiangxi University of Traditional Chinese Medicine
385,Southwest Forestry University
386,The National Academy of Chinese Theatre Arts
387,Xuzhou Medical University
388,China West Normal University
389,Hanshan Normal University
390,Tianjin Medical University
391,Shandong Agricultural University
392,Jiangsu Ocean University
393,Quanzhou Normal University
394,Tianshui Normal University
395,Liaoning University of Technology
396,Shandong University of Traditional Chinese Medicine
397,Tianjin University of Finance and Economics
398,Guilin Medical University
399,Chongqing University of Education
400,Beijing Technology and Business University
401,Liaoning Shihua University
402,Dalian Medical University
403,Changshu Institute of Technology
404,Hubei Institute of Fine Arts
405,Yanbian University
406,Yan'an University
407,Inner Mongolia Agricultural University
408,Henan University of Traditional Chinese Medicine
409,Beijing Union University
410,Dalian Nationalities University
411,Southwest University for Nationalities
412,Qiqihar University
413,Hainan Normal University
414,Baoji University of Arts and Sciences
415,North Sichuan Medical College
416,Chuzhou University
417,North China University of Science and Technology
418,China Youth University for Political Sciences
419,Huanggang Normal University
420,Beijing Dance Academy
421,Beijing Sport University
422,Guangzhou Medical University
423,Henan Institute of Science and Technology
424,Shanghai Jianqiao University
425,Shenyang Jianzhu University
426,Xinxiang Medical University
427,Huanghe Jiaotong University
428,Henan Institute of Engineering
429,Henan University of Economics and Law
430,Nanyang Normal University
431,Xi'an Polytechnic University
432,North China University of Water Resources and Electric Power
433,Shanghai Conservatory of Music
434,Huangshan University
435,Dalian Jiaotong University
436,Dalian Neusoft University of Information
437,Henan University of Technology
438,Shanxi University of Finance and Economics
439,Heilongjiang University of Chinese Medicine
440,Ningde Normal University
441,Jinggangshan University
442,Zhejiang Chinese Medical University
443,Binzhou Medical University
444,Xi'an Academy of Fine Arts
445,Changzhou Institute of Technology
446,Hunan City University
447,Xi'an Eurasia University
448,Shaoguan University
449,Hunan University of Science and Engineering
450,Tianjin University of Sport
451,Guangxi Teachers Education University
452,Nanchang Institute of Technology
453,Beihua University
454,Anyang Institute of Technology
455,Jining University
456,Chengde Medical University
457,Honghe University
458,Chongqing University of Science and Technology
459,Huaibei Normal University
460,Guangxi University of Finance and Economics
461,Xi'an University of Posts and Telecommunications
462,Dalian Polytechnic University
463,Hunan University of Science and Technology
464,Wuhan Conservatory of Music
465,Sanya University
466,Shandong University of Arts
467,Sichuan Conservatory of Music
468,Northeast Petroleum University
469,China Women's University
470,Tangshan Normal University
471,Shaanxi University of Technology
472,Shangqiu Normal University
473,Hechi University
474,Zhejiang Yuexiu University of Foreign Languages
475,Huanghuai University
476,Guangdong Polytechnic Normal University
477,China University of Labor Relations
478,East China Jiaotong University
479,Huzhou University
480,Harbin University of Commerce
481,Longyan University
482,Anhui Science and Technology University
483,University of International Relations
484,Shandong Yingcai University
485,Shenyang Sport University
486,Taiyuan Institute of Technology
487,Huanghe Science and Technology College
488,Tibet University
489,Xinjiang Medical University
490,Guangdong University of Finance
491,Hebei Normal University of Science and Technology
492,Qingdao University of Technology
493,Guangxi Normal University for Nationalities
494,Guizhou University of Finance and Economics
495,Tangshan College
496,Changzhi Medical College
497,Qingdao Huanghai University
498,Qinghai University for Nationalities
499,China Conservatory of Music
500,Jiangsu Teachers University of Technology
