Rank,University Name,Domain,MX,SPF,DKIM,DMARC
54,Hunan University,hnu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
55,Jinan University,jnu.edu.cn,[<DNS IN MX rdata: 5 register.jnu.edu.cn.>],True,False,False
56,Ocean University of China,ouc.edu.cn,[<DNS IN MX rdata: 10 mail.ouc.edu.cn.>],True,False,False
57,Beijing Foreign Studies University,bfsu.edu.cn,[<DNS IN MX rdata: 5 mxbiz.vip.qq.com.>],True,False,False
58,China University of Geosciences Wuhan,cug.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
59,South University of Science and Technology,sustech.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
60,Nanjing University of Aeronautics and Astronautics,nuaa.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,True
61,Jiujiang University,jju.edu.cn,[<DNS IN MX rdata: 11 mail.jju.edu.cn.>],False,False,False
62,Nanchang University,ncu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,True
63,Nanjing Agricultural University,njau.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
64,Guilin University of Electronic Technology,guet.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
65,Donghua University,dhu.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,False
66,Shantou University,stu.edu.cn,[<DNS IN MX rdata: 5 stu-edu-cn.mail.protection.partner.outlook.cn.>],True,False,False
67,Northwest A&F University,nwafu.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
68,Communication University of China,cuc.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],False,False,True
69,Huaqiao University,hqu.edu.cn,[<DNS IN MX rdata: 10 mx.hqu.edu.cn.>],True,False,False
70,Southwestern University of Finance and Economics,swufe.edu.cn,[<DNS IN MX rdata: 5 wmail.swufe.edu.cn.>],True,False,False
71,Chang'an University,chd.edu.cn,[<DNS IN MX rdata: 15 mxhm.qiye.163.com.>],True,False,False
72,Beijing University of Chemical Technology,buct.edu.cn,[<DNS IN MX rdata: 10 mx-buct-cn.icoremail.net.>],True,False,True
73,Yangzhou University,yzu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,True
