Rank,name,domain
605,Yibin University,yibinu.edu.cn
606,Hebei Institute of Physical Education,hepec.edu.cn
607,Xichang College,xcc.edu.cn
608,Yunnan Arts University,ynart.edu.cn
609,Wuxi Taihu University,wxu.edu.cn
610,Fuyang Normal University,fynu.edu.cn
611,Xinjiang Agricultural University,xjau.edu.cn
612,Guangdong University of Petrochemical Technology,gdupt.edu.cn
613,Hunan University of Commerce,hutb.edu.cn
614,Beijing University of Agriculture,bua.edu.cn
615,Jiangxi University of Technology,jxut.edu.cn
616,Ludong University,ldu.edu.cn
617,Chengdu Medical College,cmc.edu.cn
618,Anqing Normal University,aqnu.edu.cn
619,Xi'an Peihua University,peihua.cn
620,Civil Aviation Flight University of China,cafuc.edu.cn
621,Chuxiong Normal University,cxtc.edu.cn
622,Tianjin Agricultural University,tjau.edu.cn
623,Ningxia Institute of Science and Technology,nxist.com
624,Xi'an University of Finance and Economics,xaufe.edu.cn
625,Xinjiang University of Finance and Economics,xjufe.edu.cn
626,Guangxi University of Chinese Medicine,gxtcmu.edu.cn
627,Yunnan University of Traditional Chinese Medicine,ynutcm.edu.cn
628,Chongqing Three Gorges University,sanxiau.edu.cn
629,Shanghai Business School,sbs.edu.cn
630,Xizang Minzu University,xzmu.edu.cn
631,Baise University,bsuc.cn
632,Shenyang Conservatory of Music,sycm.com.cn
633,Shaanxi Xueqian Normal University,snsy.edu.cn
634,Changchun University of Chinese Medicine,ccucm.edu.cn
635,Jilin College of the Arts,jlart.edu.cn
636,Wuzhou University,gxuwz.edu.cn
637,Beijing Institute of Fashion Technology,bift.edu.cn
638,Guangdong Baiyun University,baiyunu.edu.cn
639,Zhaoqing University,zqu.edu.cn
640,Hunan First Normal University,hnfnu.edu.cn
641,Chengdu Sport University,cdsu.edu.cn
642,Yunnan University of Finance and Economics,ynufe.edu.cn
643,Hebei Finance University,hbfu.edu.cn
644,Fujian Business University,fjbu.edu.cn
645,Xingtai University,xttc.edu.cn
646,Jiangsu University of Technology,jsut.edu.cn
647,Guilin University of Aerospace Technology,guat.edu.cn
648,Hunan University of Arts and Science,huas.edu.cn
649,Tianjin Conservatory of Music,tjcm.edu.cn
650,Hunan International Economics University,hieu.edu.cn
651,Ankang University,aku.edu.cn
652,Fujian Jiangxia University,fjjxu.edu.cn
653,Beijing Electronic Science and Technology Institute,besti.edu.cn
654,Guangzhou Sport University,gzsport.edu.cn
655,Shenyang University,syu.edu.cn
656,Hubei University for Nationalities,hbmzu.edu.cn
657,Taishan University,tsu.edu.cn
658,Hunan University of Chinese Medicine,hnucm.edu.cn
659,Chengdu Technological University,cdtu.edu.cn
660,Anhui Sanlian University,slu.edu.cn
661,Hainan Medical University,hainmc.edu.cn
662,Weifang Medical University,wfmc.edu.cn
663,Gannan Normal University,gnnu.edu.cn
664,Tonghua Normal University,thnu.edu.cn
665,Hubei University of Arts and Science,hbuas.edu.cn
666,Ningxia Normal University,nxtu.cn
667,Guangdong University of Education,gdei.edu.cn
668,Yantai Nanshan University,nanshan.edu.cn
669,Hengyang Normal University,hynu.edu.cn
670,Inner Mongolia University of Science and Technology,btu.edu.cn
671,Wenhua University,hustwenhua.net
672,Inner Mongolia University for the Nationalities,imun.edu.cn
673,Gansu University of Political Science and Law,gsupl.edu.cn
674,Guiyang University,gyu.cn
675,Shougang Institute of Technology,sgit.edu.cn
676,Taizhou University,tzu.edu.cn
677,Xi'an Fanyi University,xafy.edu.cn
678,Shandong Xiehe University,sdxiehe.edu.cn
679,Shenyang University of Chemical Technology,syuct.edu.cn
680,Xi'an Technological University,xatu.edu.cn
681,Xi'an Aeronautical University,xaau.edu.cn
682,Qilu Normal University,qlnu.edu.cn
683,Yulin Normal University,ylu.edu.cn
684,Wenzhou-Kean University,https://wku.edu.cn
685,Luoyang Normal University,lynu.edu.cn
686,Capital University of Physical Education and Sports,cupes.edu.cn
687,Changchun Institute of Technology,ccit.edu.cn
688,Wuyi University,wuyiu.edu.cn
689,Wenzhou Business College,wzbc.edu.cn
690,Jilin Engineering Normal University,jlenu.edu.cn
691,Sanda University,sandau.edu.cn
692,Heilongjiang Institute of Technology,hljit.edu.cn
693,Shanxi University of Traditional Chinese Medicine,sxtcm.edu.cn
694,Hebei Institute of Communication,hebic.cn
695,Jilin Business and Technology College,jlbtc.edu.cn
696,Tianjin Tianshi College,tianshi.edu.cn
697,Binzhou University,bzu.edu.cn
698,Suzhou University,ahszu.edu.cn
699,Jiangxi Science and Technology Normal University,jxstnu.edu.cn
700,Inner Mongolia Medical University,immu.edu.cn
701,Beihai College of Art and Design,sszss.com
702,Quanzhou Institute of Information Engineering,qziedu.cn
703,The Central Academy of Drama,zhongxi.cn
704,Baoding University,bdu.edu.cn
705,Guangxi Arts University,gxau.edu.cn
706,Guangxi University of Foreign Languages,gxufl.com
707,Panzhihua University,pzhu.cn
708,Zhoukou Normal University,zknu.edu.cn
709,Zhengzhou Institute of Technology,zzut.edu.cn
710,Yang-En University,yeu.edu.cn
711,Jilin International Studies University,jisu.edu.cn
712,Tianjin Zhongde University of Applied Sciences,tsguas.edu.cn
713,Zaozhuang University,uzz.edu.cn
714,Zhengzhou Technology and Business University,ztbu.edu.cn
715,North China Institute of Science and Technology,ncist.edu.cn
716,Tongling University,tlu.edu.cn
717,Jilin Institute of Chemical Technology,jlict.edu.cn
718,Hebei University of Chinese Medicine,hebcm.edu.cn
719,Handan College,hdc.edu.cn
720,Weinan Normal University,wnu.edu.cn
721,Xi'an Conservatory of Music,xacom.edu.cn
722,Yichun University,jxycu.edu.cn
723,Xinjiang Arts University,xjart.edu.cn
724,Xi'an Shiyou University,xapi.edu.cn
725,Bengbu University,bbc.edu.cn
726,Chifeng University,cfxy.cn
727,"Neusoft Institute, Guangdong",nuit.edu.cn
728,University of Science and Technology Liaoning,ustl.edu.cn
729,Sanjiang University,sju.edu.cn
730,Yili Normal University,ylnu.edu.cn
731,Luliang University,llhc.edu.cn
732,Chongqing University of Arts and Sciences,cqwu.net
733,Beijing Geely University,bgu.edu.cn
734,Shandong University of Political Science and Law,sdupsl.edu.cn
735,Harbin University,hrbu.edu.cn
736,Hebei University of Architecture,hebiace.edu.cn
737,Guiyang University Traditional Chinese Medicine,gzy.edu.cn
738,Chengdu Normal University,cdnu.edu.cn
739,Wuhan College of Media and Communications,whmc.edu.cn
740,Heilongjiang Bayi Agricultural University,byau.edu.cn
741,Hunan Institute of Technology,hnit.edu.cn
742,Kunming Medical University,kmmc.cn
743,Guangdong Peizheng College,peizheng.edu.cn
744,Chaohu University,chu.edu.cn
745,Lishui University,lsu.edu.cn
746,Shanghai University of Medicine and Health Sciences,sumhs.edu.cn
747,Shangluo University,slxy.cn
748,Pingdingshan University,pdsu.edu.cn
749,Jiangsu Second Normal University,jssnu.edu.cn
750,Shanxi Datong University,sxdtdx.edu.cn
751,Shandong Youth University of Political Science,sdyu.edu.cn
752,Yangtze Normal University,yznu.cn
753,Zhengzhou Normal University,zznu.edu.cn
754,Hetao College,hetaodaxue.com
755,Guizhou Minzu University,gzmu.edu.cn
756,Inner Mongolia Arts University,imac.edu.cn
757,Lanzhou City University,lzcu.edu.cn
758,Liaoning Institute of Science and Technology,lnist.edu.cn
759,Sichuan University for Nationalities,scun.edu.cn
760,Xi'an Medical University,xiyi.edu.cn
761,Suihua University,shxy.edu.cn
762,"Hunan University of Humanities, Science and Technology",huhst.edu.cn
763,Xianyang Normal University,xysfxy.cn
764,Harbin Institute of Information Technology,hxci.com.cn
765,Qiqihar Medical University,qmu.edu.cn
766,Harbin Institute of Physical Education,hrbipe.edu.cn
767,Hebei Foreign Studies University,hfsu.cn
768,Xinxiang University,xxu.edu.cn
769,Minnan University of Science and Technology,mnust.edu.cn
770,Hebei Polytechnic Institute,hbfsh.com
771,Gansu Normal University for Nationalities,gnun.edu.cn
772,Mudanjiang Medical University,mdjmu.cn
773,Guangzhou College of Commerce,gcc.edu.cn
774,Changchun University of Science and Technology,jlaudev.com.cn
775,Wuhan Institute of Bioengineering,whsw.cn
776,Xinyang Agriculture and Forestry University,xyafu.edu.cn
777,Sichuan University of Media and Communications,scmc.edu.cn
778,Qilu Medical University,qlmu.edu.cn
779,Henan Finance University,hafu.edu.cn
780,Zhengzhou University of Industrial Technology,zzuit.edu.cn
781,Jilin Medical University,jlmu.cn
782,Anshan Normal University,asnc.edu.cn
783,Zhejiang Conservatory of Music,zjcm.edu.cn
784,Weifang University of Science and Technology,wfust.edu.cn
785,Kunming University,kmu.edu.cn
786,Tibetan Traditional Medical College,ttmc.edu.cn
787,Sichuan Tourism University,sctu.edu.cn
788,Eastern Liaoning University,elnu.edu.cn
789,Changchun Architecture and Civil Engineering College,jladi.com
790,Harbin Guangxia University,gsxy.cn
791,Hubei Business College,hbc.edu.cn
792,Henan University of Animal Husbandry and Economy,hnuahe.edu.cn
793,Xiamen Institude of Technology,xit.edu.cn
794,Yanjing Institute of Technology,yit.edu.cn
795,Liaoning University of International Business and Economics,luibe.edu.cn
796,Shandong Management University,sdmu.edu.cn
797,Cangzhou Normal University,caztc.edu.cn
798,Shangqiu Institute of Technology,sqgxy.edu.cn
799,Hengshui University,hsnc.edu.cn
800,Hunan Institute of Information Technology,hnuit.edu.cn
801,Changchun Guanghua University,ghu.edu.cn
802,Moutai Institute,mtxy.edu.cn
803,Wuchang Institute of Technology,wuit.cn
804,Wuhan Technology and Business University,wtbu.edu.cn
805,Shandong Xiandai University,sdxd.edu.cn
806,Qiongtai Normal University,qtnu.edu.cn
807,Shandong Women's University,sdwu.edu.cn
808,Hebei College of Science and Technology,hbkjxy.cn
809,East University of Heilongjiang,hljeu.edu.cn
810,Wenshan University,wsu.edu.cn
811,Yulin University,yulinu.edu.cn
812,Shandong Agriculture and Engineering University,sdaeu.edu.cn
813,Hebei University of Environmental Engineering,hebuee.edu.cn
814,Wuhan Business University,wbu.edu.cn
815,Guangzhou Maritime University,http://gzmtu.edu.cn
816,Nanchang Institute of Science and Technology,ncpu.edu.cn
817,Wuhan Donghu University,wdu.edu.cn
818,Sichuan University of Arts and Science,sasu.edu.cn
819,Liupanshui Normal University,lpssy.edu.cn
820,Hebei Normal University for Nationalities,hbun.edu.cn
821,Zhengzhou Chenggong University of Finance and Economics,chenggong.edu.cn
822,Zhengzhou University of Science and Technology,zit.edu.cn
823,Nanchang Normal University,ncnu.edu.cn
824,Hangzhou Medical College,hmc.edu.cn
825,Henan Institute of Technology,hait.edu.cn
826,Shanxi Technology and Business College,sxtbu.net
827,Chizhou University,czu.edu.cn
828,Hunan University of Finance and Economics,hufe.edu.cn
829,Liaoning Communication University,lncu.cn
830,"Chongqing College of Humanities, Science and Technology",cqrk.edu.cn
831,Shenzhen MSU-BIT University,smbu.edu.cn
832,Longdong University,ldxy.edu.cn
833,Chengdu College of Arts and Sciences,cdcas.edu.cn
834,Shandong Huayu University of Technology,sdhyxy.com
835,SanQuan Medical College,sqmc.edu.cn
836,Heihe University,hhhxy.cn
837,Gannan Medical University,gmu.cn
838,Xingyi Normal University for Nationalities,xynun.edu.cn
839,Guizhou Institute of Technology,git.edu.cn
840,Liaoning Finance and Trade College,lncmxy.com
841,Jinzhong University,jzxy.edu.cn
842,Shaanxi Fashion Engineering University,sxfu.cn
843,Shijiazhuang University,sjzc.edu.cn
844,Aba Teachers University,abtu.edu.cn
845,Wuchang Shouyi University,wsyu.edu.cn
846,Changji University,cjc.edu.cn
847,Lanzhou University of Arts and Science,luas.edu.cn
848,Chongqing Institute of Engineering,cqie.edu.cn
849,Langfang Teachers University,lfsfxy.org.cn
850,Anhui Institute of Information Technology,aiit.edu.cn
851,Zhangjiakou University,zjku.edu.cn
852,Chengdu Neusoft University,nsu.edu.cn
853,Anhui International Studies University,aisu.edu.cn
854,Harbin Conservatory of Music,hrbcm.edu.cn
855,Shenyang Urban Construction University,syucu.edu.cn
856,Changzhi University,czc.edu.cn
857,Anshun University,asu.edu.cn
858,Guilin Tourism University,gltu.cn
859,Tongren University,gztrc.edu.cn
860,Qujing Normal University,qjnu.edu.cn
861,Heilongjiang International University,hiu.edu.cn
862,Inner Mongolia Nationality College,imnc.edu.cn
863,Wuhan University of Engineering Science,wuhues.com
864,Qilu Institute of Technology,qlit.edu.cn
865,Hebei Academy of Fine Arts,hbafa.com
866,Suqian College,sqc.edu.cn
867,Hankou University,hkxy.edu.cn
868,Yunnan Technology and Business University,yngsxy.net
869,Kaili University,kluniv.edu.cn
870,Wuhan Institute of Design and Sciences,wids.edu.cn
871,Qiqihar Institute of Engineering,qqhrit.com
872,Zhaotong University,ztu.edu.cn
873,NanTong Institute of Technology,ntit.edu.cn
874,Heilongjiang University of Finance and Economics,hfu.edu.cn
875,Gansu Medical College,gsmc.edu.cn
876,Jilin Agricultural Science and Technology College,jlnku.edu.cn
877,Jiangxi Institute of Fashion Technology,jift.edu.cn
878,Harbin Institute of Petroleum,hip.edu.cn
879,Sichuan University of Culture and Arts,sca.edu.cn
880,Dalian Art College,dac.edu.cn
881,Shangqiu University,sqxy.edu.cn
882,Anyang University,ayxy.edu.cn
883,Nanning University,nnxy.cn
884,Xi'an Traffic Engineering Institute,xjy.edu.cn
885,Wuhan Huaxia University of Technology,hxut.edu.cn
886,Liaoning Institute of Science and Engineering,lise.edu.cn
887,Guizhou University of Commerce,gzcc.edu.cn
888,Youjiang Medical University for Nationalities,ymun.edu.cn
889,Guizhou University of Engineering Science,gues.edu.cn
890,Harbin Finance University,hrbfu.edu.cn
891,Guangdong University of Technology,gdlgxy.edu.cn
892,Bozhou University,bzuu.edu.cn
893,Hezhou University,hzxy.edu.cn
894,Pingxiang University,pxc.jx.cn
895,Shanxi Institute of Technology,sxit.edu.cn
896,Wuhan College,whxy.net
897,Qingdao Institute of Technology,qit.edu.cn
898,Qingdao Hengxing University of Science and Technology,hx.cn
899,Yunnan College of Business Management,ynjgy.com
900,Hubei University of Science and Technology,hbust.com.cn
901,Fuzhou Institute of Technology,fit.edu.cn
902,Harbin Far East Institute of Technology,fe-edu.com.cn
903,Shangrao Normal University,sru.jx.cn
904,Taiyuan University,http://cn.tnu.edu.vn
905,Xinzhou Teachers University,xztu.edu.cn
906,Ordos Institute of Technology,oit.edu.cn
907,Shenyang City University,sycu.cn
908,He University,he-edu.com
909,Dalian University of Finance and Economics,dlufe.edu.cn
910,Wuhan Qingchuan University,qcuwh.cn
911,Xinjiang Institute of Engineering,xjie.edu.cn
912,Communication University of Shanxi,cusx.edu.cn
913,Shenyang Institute of Technology,situ.edu.cn
914,Hunan Institute of Traffic Engineering,https://hnjt.edu.cn
915,Shanghai Xingwei College,xingwei.edu.cn
916,Guangdong University of Science and Technology,gdust.cn
917,Yuzhang Normal University,yuznu.edu.cn
918,Puer University,peuni.cn
919,Yingkou Institute of Technology,yku.edu.cn
920,Changchun University of Finance and Economics,ccufe.edu.cn
921,Hunan Applied Technology University,hnyyjsxy.com
922,Xinyang University,xyu.edu.cn
923,Jingdezhen University,jdzu.edu.cn
924,Xinghai Conservatory of Music,xhzsb.com
925,Harbin Cambridge University,hcc.edu.cn
926,Hunan University of Medicine,hnmu.com.cn
927,Harbin Huade University,hhdu.edu.cn
928,Shanxi College of Applied Science and Technology,sxcast.edu.cn
929,Heilongjiang College of Business and Technology,hibu.edu.cn
930,Dalian University of Science and Technology,dlust.edu.cn
931,Sichuan Film and Television University,scftvc.com
932,Jining Normal University,jntc.nm.cn
933,Sichuan Institute of Industrial Technology,scit.cn
934,West Yunnan University of Applied Sciences,wyuas.edu.cn
935,Heilongjiang University of Technology,hljut.edu.cn
936,West Yunnan University,wynu.edu.cn
937,Shenyang Institute of Science and Technology,syist.edu.cn
938,Sanming University,smxy.cn
939,Shanxi Institute of Energy,sxeu.cn
